2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 16:52:22.769 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:53:59.168 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:56:27.178 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:00:24.933 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:00:38.544 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 17:04:55.323 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 17:04:55.616 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:05:21.717 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 17:05:34.604 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:07:57.633 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:09:18.246 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 17:37:17.231 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 17:37:17.431 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 17:37:19.457 +03:00 [INF] Bot id : 6429131594 ; User sent a message : asda 
2024-03-19 17:37:24.335 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 17:37:28.968 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 17:37:32.947 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortTestDateAscending
2024-03-19 17:37:38.008 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.json"
2024-03-19 17:37:38.008 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendJSONFile
2024-03-19 17:37:42.383 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:37:46.270 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSort
2024-03-19 17:37:50.927 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:37:52.031 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:37:53.811 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 17:37:55.889 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 17:37:58.399 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Geoarea
2024-03-19 17:38:01.134 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_Geoarea
2024-03-19 17:38:14.072 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : ooijokjklj;lkjlkj;klj; 
2024-03-19 17:38:14.376 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : ooijokjklj;lkjlkj;klj; 
2024-03-19 17:38:27.806 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:38:32.880 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:38:33.776 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:45:38.834 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 17:45:40.660 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 17:45:44.608 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
